iter	Passed	Remaining
0	1	1322
1	2	1215
2	3	1133
3	4	1117
4	5	1081
5	6	1078
6	7	1044
7	8	1041
8	9	1018
9	10	1071
10	12	1090
11	13	1082
12	13	1058
13	14	1039
14	15	1026
15	16	1019
16	17	1011
17	18	1001
18	19	998
19	20	983
20	21	985
21	22	978
22	23	980
23	24	982
24	25	975
25	26	988
26	27	987
27	28	994
28	29	988
29	30	984
30	31	980
31	32	975
32	33	982
33	34	986
34	35	983
35	36	982
36	37	979
37	38	976
38	39	970
39	40	975
40	41	975
41	42	973
42	43	971
43	44	971
44	45	965
45	46	966
46	47	968
47	48	968
48	49	967
49	50	964
50	51	962
51	52	959
52	53	953
53	54	949
54	55	948
55	56	949
56	57	946
57	58	944
58	59	941
59	59	936
60	60	933
61	61	930
62	62	932
63	63	932
64	64	930
65	65	929
66	66	926
67	67	923
68	68	921
69	69	919
70	70	920
71	71	919
72	72	915
73	72	912
74	73	910
75	74	909
76	75	906
77	76	908
78	77	908
79	78	908
80	79	905
81	80	902
82	81	895
83	81	892
84	82	890
85	83	888
86	84	887
87	85	886
88	86	884
89	87	883
90	88	881
91	89	880
92	90	879
93	91	880
94	92	879
95	93	877
96	93	874
97	94	874
98	95	871
99	96	868
100	97	866
101	98	867
102	99	865
103	100	865
104	101	863
105	102	860
106	102	857
107	103	858
108	104	857
109	105	857
110	107	858
111	108	856
112	108	854
113	109	853
114	110	851
115	111	849
116	112	846
117	113	847
118	114	847
119	115	847
120	116	846
121	117	846
122	118	844
123	119	843
124	120	843
125	121	843
126	122	842
127	123	841
128	124	839
129	125	839
130	126	838
131	127	839
132	128	838
133	129	837
134	130	835
135	131	834
136	132	833
137	133	831
138	133	829
139	135	830
140	136	829
141	136	825
142	137	824
143	138	823
144	139	822
145	140	821
146	141	819
147	142	818
148	143	817
149	144	816
150	145	815
151	145	814
152	146	812
153	147	812
154	148	811
155	150	812
156	151	812
157	152	811
158	153	809
159	154	808
160	154	805
161	155	804
162	156	804
163	157	804
164	158	803
165	159	802
166	160	800
167	161	799
168	162	798
169	163	798
170	164	798
171	165	797
172	166	796
173	167	794
174	168	793
175	169	791
176	169	790
177	170	789
178	172	790
179	173	790
180	174	788
181	175	788
182	176	787
183	177	785
184	178	785
185	179	785
186	180	784
187	181	783
188	182	782
189	183	781
190	184	779
191	184	778
192	186	779
193	187	778
194	188	777
195	189	775
196	189	774
197	190	773
198	191	772
199	192	771
200	194	772
201	195	771
202	196	769
203	196	768
204	197	767
205	199	767
206	201	770
207	202	769
208	202	768
209	203	767
210	204	766
211	205	765
212	206	764
213	207	763
214	208	762
215	209	761
216	210	760
217	211	758
218	212	757
219	213	758
220	214	757
221	215	756
222	217	756
223	218	755
224	219	754
225	219	753
226	220	752
227	221	751
228	223	751
229	224	749
230	224	748
231	225	747
232	226	746
233	227	745
234	228	744
235	229	743
236	230	743
237	231	741
238	232	741
239	233	740
240	234	738
241	235	738
242	236	737
243	237	736
244	238	735
245	239	735
246	240	733
247	241	732
248	242	730
249	243	730
250	244	730
251	245	729
252	246	727
253	247	726
254	248	725
255	249	723
256	249	722
257	251	722
258	252	722
259	253	720
260	254	719
261	255	718
262	256	717
263	256	716
264	258	715
265	259	714
266	260	714
267	261	713
268	261	711
269	262	710
270	263	709
271	264	708
272	265	707
273	266	706
274	267	705
275	268	704
276	269	703
277	270	702
278	271	701
279	272	700
280	273	700
281	274	699
282	275	697
283	276	696
284	277	695
285	278	694
286	278	693
287	280	693
288	281	692
289	282	691
290	283	690
291	284	689
292	285	689
293	286	688
294	287	687
295	288	686
296	289	685
297	290	684
298	291	683
299	292	681
300	293	680
301	295	682
302	296	682
303	297	681
304	298	680
305	299	680
306	301	679
307	302	678
308	303	678
309	304	676
310	304	675
311	305	674
312	306	673
313	307	672
314	309	673
315	310	672
316	311	671
317	312	670
318	313	669
319	314	668
320	315	666
321	316	665
322	317	664
323	318	663
324	319	662
325	319	661
326	320	660
327	321	659
328	322	658
329	323	657
330	324	656
331	325	655
332	326	653
333	327	652
334	328	651
335	329	650
336	330	650
337	331	648
338	332	647
339	333	646
340	334	645
341	335	644
342	336	644
343	337	643
344	338	642
345	339	641
346	340	640
347	341	639
348	342	638
349	343	637
350	343	635
351	345	635
352	345	633
353	346	632
354	347	631
355	348	630
356	349	630
357	350	629
358	354	632
359	355	631
360	355	630
361	356	628
362	357	627
363	358	626
364	359	626
365	361	625
366	362	624
367	363	623
368	364	622
369	365	621
370	366	620
371	367	619
372	368	618
373	369	617
374	369	616
375	370	615
376	371	614
377	372	613
378	374	612
379	375	612
380	377	612
381	378	611
382	379	610
383	380	609
384	381	608
385	381	607
386	382	606
387	383	605
388	384	604
